label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
landIdentityInfo,SP,The unique land identification information corresponding to this observation.,LandParcel,LandIdentityDesc,,,0,0,
cropArea,QP,"Area of the agricultural land used for cultivation, i.e, the arable land area.",LandParcel,"Number, ValueDescriptor",,,0,0,
ownershipType,TXP,"The type of ownership of the entity corresponding to this observation. ENUM: [Lease, Rent, Own]",LandParcel,"Text, ValueDescriptor",,,0,0,
landExtent,QP,Area of the land corresponding to this observation.,LandParcel,"Number, ValueDescriptor",,,0,0,
location,GP,The location mapping the boundaries of the land parcel corresponding to the observation.,LandParcel,"Place, ValueDescriptor",,,1,1,
sowingDate,TP,The date at which the crop has been sown in the farm corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,
harvestDate,TP,The date at which the crop has been harvested in the farm corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,
capitalInfo,SP,The income and expenditure information corresponding to the entity.,LandParcel,CapitalDesc,,,0,0,
observationDateTime,TP,Last reported time of observation.,"LandParcel,
Commons","DateTime, ValueDescriptor",,,0,0,
localeInfo,SP,Locale information corresponding to this observation.,LandParcel,LocaleDesc,,,0,0,
irrigationSource,TXP,"The source of irrigation for a land, such as well, canals, tanks, borewell, etc",LandParcel,"Text, ValueDescriptor",,,0,0,
ownerInfo,SP,Details of the person who owns the entity corresponding to this observation.,"Drone,
AgriMachinery, LandParcel",PersonnelDesc,,,0,0,
lessorInfo,SP,Details of the person who leases the entity corresponding to this observation.,"Drone,
AgriMachinery, LandParcel",PersonnelDesc,,,0,0,
landClassName,TXP,"The name of the land classification as assigned by the government. Land classification can be based on several aspects such as type of land settlements, resource availability, irrigation etc.",LandParcel,"Text, 
ValueDescriptor",,,0,0,https://maps.sewrpc.org/regionallandinfo/metadata/sewrpc_2000_lu_classifications.pdf
landClassCode,TXP,"The code of land classification as assigned by the government. Land classification can be based on several aspects such as type of land settlements, resource availability, irrigation etc.",LandParcel,"Text, 
ValueDescriptor",,,0,0,https://maps.sewrpc.org/regionallandinfo/metadata/sewrpc_2000_lu_classifications.pdf
cropAge,QP,The age of the crop species (in days) corresponding to the observation,"CropCondition,LandParcel","Number, ValueDescriptor",,,1,0,
cropNameCommon,TXP,The common/local name of the crop species corresponding to the observation.,"Crop, CropCondition,LandParcel","Text, ValueDescriptor",,,1,0,
cropHeight,QP,The height of the crop corresponding to this observation.,"CropCondition,LandParcel","Number, ValueDescriptor",,,1,0,
targetYield,QP,The desired or expected level of production for a specific agricultural crop within a given area or field.,"CropCondition,LandParcel","Number, ValueDescriptor",,,1,0,
previousCropName,TXP,The name of the crop that was cultivated prior to the current crop in the land/ soil corresponding to this observation.,"CropCondition,LandParcel","Text, ValueDescriptor",,,1,0,
irrigationCount,QP,The total number times the farm has been irrigated corresponding to this observation.,"LandParcel,Irrigation","Number, ValueDescriptor",,,1,0,
nextCropName,TXP,The name of the crop that will be cultivated in the upcoming season orresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,
irrigationMethod,TXP,"The types of irrigating crops include surface irrigation, flooded field irrigation, drip irrigation, sprinkler irrigation, and subsurface irrigation.","LandParcel,Irrigation","Text, ValueDescriptor",,,1,0,
cropHealth,TXP,The condition of the crop cultivated in the farm corresponding to this observation.,LandParcel,"Text, ValueDescriptor",,,0,0,
waterCoverage,QP,The extent of the area covered by water during the irrigation process on a farm.,LandParcel,"Number, ValueDescriptor",,,0,0,
plantingMethod,TXP,"The techniques and practices such as drill seeding, broadcasting, transplanting, etc. used to plant the crops for cultivation.",LandParcel,"Text, ValueDescriptor",,,0,0,
cropCode,TXP,The unique code for the crop species corresponding to this observation.,"Crop,LandParcel","Text, ValueDescriptor",,,1,0,
season,TXP,"Represents specific time of the year that has distinct weather patterns and conditions, such as summer, autumn (fall), etc.","Weather, CropCondition,LandParcel","Text, ValueDescriptor",,,1,0,
